Text,Language
Nĩ atongoretie ũthaki wa mbica mĩrongo ĩtandatũ na nĩ onĩkanĩte thĩinĩ wa mbica makĩria ma igana rĩmwe na mĩrongo itano.,Kikuyu
City ya Los Angeles irĩ igũrũ mũno ta 93 m.,Kikuyu
Nigetha irute wĩra ũyũ nĩ citumagĩrathayathi ya ũhanĩkiĩria ĩthomagwo nĩ andũ metagũo Actuarians.,Kikuyu
Shenzhou Cityirĩa nene yaChina.,Kikuyu
"Andũ a mbarĩ arĩa makuĩte nĩ marugagwo na njĩra cia kĩndũire na kũrĩo, harĩa metĩkagia nĩ makũricũria roho wa akui.",Kikuyu
Kũrigana na Ulsher mathungundo ma tekinoronjĩ njeru ciumanaga na kuohania kwogererania kwa tekinoronjĩ thugunde huthahuthu cia mũthingi.,Kikuyu
Gĩĩko kĩu nĩ kĩmemerekirioKameme-inĩkĩa twitch.,Kikuyu
Shijiazhuangcity irĩa nene yaChina.,Kikuyu
"Ibrahim Murtala Muhammed – Mũthĩgĩ waNdũire,Ngoingũana ũthindũri",Kikuyu
"Rũthiomi rũu rũhũthagĩrũo mũno bũrũri-inĩ wa Latgale, mwena wa irathĩro wa Latvia.",Kikuyu
Thayathi cia mũthingi cia ndũire nĩ:,Kikuyu
"Thĩinĩ wa Amerika ya matĩ (Mesoamerica), mbembe nĩ ĩtuagwo ngai ya ngano na ĩgathondekwo icunjĩ-inĩ.",Kikuyu
űgĩ wa kemu nĩ wa njĩrĩrie gűkűra műno rĩria andu aangirikimeciria űhoro wa  űria kűgi hanĩka űgĩthia na mbere kũgania gacunjĩ ga kĩndű.,Kikuyu
"Aidara nimahigorira ceceni cia radio Mozdahir FM kou Dakar, na ceceni ya radio Zahra FM kou Kolda imwe cia radio Senegal.",Kikuyu
Nĩ ĩhũthĩrĩtwo ta kĩndũ gĩa gũkumutha na gũtheriaNyũngũo hamwe na indo cia mbaũ na igera na kũnyorokia thiũ.,Kikuyu
"kiugo ""kĩũga"" kĩorotaga mũmbĩre wa mwĩrĩ, 'kũũgũka' nĩ gũtũma mũũmbo wũmbũkane; 'mũũgũkano' nĩgĩkengokĩa tabarĩra ĩcio.",Kikuyu
Nĩ matuire atĩ no űkinye kanyamu kanini muno kari metire atomu ngatagigayikana rĩngĩ.,Kikuyu
"""(Kombora Palestina) rĩrĩa mũtungata ũmwe wa mbirarũ cia runye (secret service) amorotaga na mũcinga na angĩ erĩ makĩgeria kũniina mwaki ũcio.",Kikuyu
Ithe wake aarĩ mũgũnda-inĩ ũcio.,Kikuyu
"Thutha wa kurikia mathomo ma udoire wa ithalamu kou Senegal, maria mahutetio na ithe, Aidara akiendeleya na mathomo kou Alliance Francaise kou Paris.",Kikuyu
- **Millie Rose Heywood**  ta Kelly,Kikuyu
nĩ kũrĩ mũhari mũrũngaru na mũhari ũragonya(curve) na mũhari ũrogotha(twist),Kikuyu
Aarĩ Mũtabarĩri wa Ngumo wa World Future Council.,Kikuyu
"makĩria nĩataragĩragia ũrĩa nyina anyitĩtwo na akĩohwo mwaka mũgima, mbuguiro ĩrĩa ĩracũngĩrĩire we kũcenjereria mĩhang'o ya ũmathi..",Kikuyu
Physics itagwo na gikuyu fithĩki.,Kikuyu
"O na kũrĩ ũguo, gĩkeno no kĩririmbũkĩre mũndũ o ũguo atekũmenya gĩtũmi.",Kikuyu
"Yakũrire kuuma kĩharo kĩa Kĩmabũrũri kĩaKotoka, Accra** Thaa **3:12 rũciinĩ** mathaa ma gĩcigo, na ĩgĩcoka kũbuĩra kuuma ũrang'a.",Kikuyu
"O ho, Kamagĩra nene ikuaga makari, ndaba hamwe na agendi.",Kikuyu
City ya Hanzhong irĩ igũrũ mũno ta 511 m.,Kikuyu
thukuru ici nĩcio cia gĩkero kĩa gacũmbĩrĩ mũtarainĩ waMathomo.,Kikuyu
City ya To‘rtko‘l irĩ igũrũ mũno ta 85 m.,Kikuyu
"Nditimũrano cia baara nĩ ciarĩ kuo na njĩra nene mabũrũri maMorocco,Iraq,Algeria,Lebanon,Jordan,Kuwait,OmannaSudan.",Kikuyu
Iwanda ici cia Paris-Saclay ithondekaga tekinoronjĩ cia ũhoro cia kirathi kia iguru mũno.,Kikuyu
mĩtereko ya ũgĩ ũrĩa ũgethagwo kũgerera njĩra ya thithi (sensations) ta kũona na kũigwa ona cio cikoragwo irĩ ngerekano ya maciira ma ngũngũĩro.,Kikuyu
Chirchiqcity irĩa nene yaUzbekistan.,Kikuyu
"Ũhoro wa gũbogotha nĩ wonekaga thĩinĩ wa ""Petals of Blood"" yaNgũgĩ wa Thiong'oituĩka rĩrĩa mũrwaru Joseph arakomete akietherwo ha kũhurũka.",Kikuyu
Ici nĩ ngari njeru cia  stagi ya űtuĩria na gűthondeka.,Kikuyu
"Njĩra ya bara ĩmwe ĩna ũraihu wa  kilomita1,860 kilometres (1,160mi)na ĩrũgamagĩrũo nĩ ndamathia ya Tanzania-Zambia Railway Authority (TAZARA).",Kikuyu
Mũbebe (ĩgetwo 'masara' na rũthiomi rwa Kĩhauca) nĩ rũthaara rũrũkindĩrĩkũ  rũcairagia irio ciĩtagwo mbembe.,Kikuyu
Abraham Maslow arĩ mũthomi wa mbũgĩ kuma bũrũri waUnited Statesũrĩa kĩrĩra gĩake gĩkonie mũkuũko wa mabataro ma kĩmbũgĩ kĩmemerekete kĩharo-inĩ kĩu.,Kikuyu
njiarano nĩ mũtaratara ũrĩa kĩũmbe gĩkengũraga kĩũmbe kĩngĩ ta kĩo.,Kikuyu
Ici nĩ ngari itűmagira thitima handu ha maguta.,Kikuyu
Rĩu kwĩna njĩra njerũ ya gũkinyirio maũndũ kwĩ mũtambo wa terebiceni kugereradigital transmission.,Kikuyu
[1]Nĩ kũrĩ na mĩthemba 100 ya koikoi ĩrĩa ĩgomagĩragaandũ.,Kikuyu
City ya Hengyang irĩ igũrũ mũno ta 8 m.,Kikuyu
Indo iria ciguĩmagwo nĩ ikoragwo irĩ ngũrani kũringana na mũthemba wa nditimũrano na gĩthithi kĩa andũ arĩa maranyita itemi.,Kikuyu
"Kwĩ mabũrũri nyamungumi nyendetwo mũno ta Amerika, Jaabani, Korea, China, Ngeretha na mangi maingĩ.",Kikuyu
Thayathi cia gũtũmika cia ndũire nĩ:,Kikuyu
"Senegal ĩĩ mwena wa ithũĩro wa Africa na ĩriganĩtie na mabũrũri ma Guinea, Mali, Guinea-Bissau na Mauritania.",Kikuyu
"Mwakaini wa 2000 Cherif Mohamed Aly Aidara, ari mothudori wa NGO Mozdahir International Institute kou Senegal.",Kikuyu
Terebiceni cia marangi maingĩ ciambirie kũhũthĩka mĩaka-inĩ ya 1960s gatagati-inĩ.,Kikuyu
>> nyamũ ciothe irĩ hĩa nĩ irĩ mahũngũ [all horned animals are hooved],Kikuyu
Jinchangcity irĩa nene yaChina.,Kikuyu
Ihuririocity irĩa nene yaKenya.,Kikuyu
City ya St. Louis irĩ igũrũ mũno ta 142 m.,Kikuyu
City ya Dengta irĩ igũrũ mũno ta 44 m.,Kikuyu
Gĩtĩnumbunĩ ũrirũ ũhanĩka rĩrĩa kĩndũ kana mũtaratara ũkoragwo ũkĩgomerwo na hinya wa nja kana rũinaina rũrĩa rũiganaine na ngengecũa.,Kikuyu
"Muruwaithe, Cherif Habib Aidara mutogoria wa Bonconto Commune.",Kikuyu
Ng’ano ciahũthĩkaga kũruta ciana gũkorwo me andũ mena mĩthiĩre ĩtarĩ na ũcuke.,Kikuyu
Nĩ mumera wa mũti utarahiga mũno.,Kikuyu
Kambuni ya IntelKambuni nene ithondekaga Cipiyu cia PC.,Kikuyu
Kaingĩ andũ nĩ makoragwo na nditimũrano tondũ wa icaya rĩna kana kwaga kwĩtĩkĩra ũndũ mũna.,Kikuyu
No gũkorũo kũrĩ mĩgambo mĩnene ya kũina kana mĩario mĩraihu na ĩtarĩ na ciugo gĩtaũ.,Kikuyu
Firosofa ũria wa thondekire uria ciambiki cia thayathi icenjagia.,Kikuyu
Kaingĩ kũhiũrania na ngũĩ nĩ wĩra mũritũ mũno kũrĩ mbũtũ cia karaũ.,Kikuyu
Ginya ũmũthĩ ũyũ mabebe nĩmo irio ihandagwo kwa wĩingĩ nĩandũthĩĩ harĩa yarũma.,Kikuyu
"Kiugo ""njekĩma"" kiumanĩte na 'nje' kiugo gĩa mũrimũ wa maithoNjereri;naNgĩma.",Kikuyu
"- **Richard Green** ta David, Mũkubia wa Njera",Kikuyu
"mabataro ma karungo ga gatatũ nĩ: kwĩrica itanya-inĩ rĩna, kwĩyata na kũganwo nĩ andũ",Kikuyu
"Kuma Tunisia nditimũrano igĩthegea mabũrũri mangĩ matanoLibya,Misiri,Yemen,SyrianaBahrain.",Kikuyu
City ya Abuja irĩ igũrũ mũno ta 840 m.,Kikuyu
"O na kũrĩ ũguo, nĩ kuonekaga atĩ andũ arĩa maarutaga wĩra hamwe nake nĩ maataũrĩte Kĩrĩkanĩro gĩa Tene.",Kikuyu
Nĩ memba wa Gwatanĩro ya ucumi ya SADC.,Kikuyu
"Maathai aaciarirũo mũthenya wa 1 mweri wa gatano mwaka wa 1940 mũciĩ-inĩ wa Ihithe, kĩrainĩ kĩa Nyeri, bũrũri-inĩ wa Kenya.",Kikuyu
Tekinoronjĩ kana ciaga cia nyamũ cioyaga sigino kuma kwi macingiriria na gucitumira njikithithira(Effectors).,Kikuyu
4.Mũrarachi (Calodendrum capense),Kikuyu
Shuanghecity irĩa nene yaChina.,Kikuyu
O ho mabebe nĩmagũmĩirwo nĩ ndwari na thambo nyingi na gũcũngĩrĩria mwanangĩko wa mbia ndora nyingĩ o mwaka.,Kikuyu
"Cenita ĩno ĩgĩa ĩgererie wega, nĩ  ĩgĩa tarire kambuni uhoro wa kũgia na ũgĩ wa tekinoronjĩ cia thimu cia mobairo.",Kikuyu
"Mabũrũri-inĩ maingĩ, ndũnyũ nyingĩ cia mĩrĩo mendagia 'mĩgate mĩrenge'/ O ho nĩ kurĩ nduka cia wendia wa Keki ngemie.",Kikuyu
Gwĩ thimo nyingĩ itũmagĩrwo Abĩrika yothe.,Kikuyu
Bururi wa Kongowĩ thiinĩ yaAbĩrika.,Kikuyu
ta hihi ciana ciathukurumatha ma kũhurũka(break time) nĩ ci rimũthaga hatarĩ na mũtaratara.,Kikuyu
Rũgano rũrũ rũhũthĩkaga na athomi kwonania ũrirũ wa ũkoroku naŨraũgo'o.,Kikuyu
City ya Meihekou irĩ igũrũ mũno ta 180 m.,Kikuyu
"AciarĩirũoIsiraeli, na akĩrererwo Ngeretha kuuma arĩ na mĩaka 13.",Kikuyu
Cairo( カイロ na rũthiomi rwaNjabani) nĩ mũciĩ mũnene wa bũrũri waMiciri.,Kikuyu
Ciana nyingĩ irĩ macukuru-inĩ igĩthoma nao aciari marĩ mawĩrainĩ magĩcaria ũboco wa kũrera na gũthomithia ciana.,Kikuyu
"gũcũrania nĩ gũtũmĩraũgogũkinyĩraGĩtereko (conclusion)kĩrũngaru, kana kĩakĩhooto.",Kikuyu
Arĩ mũthomi na mwandĩki wa mabuku.,Kikuyu
Bũrũri-inĩ wa Kenya nĩ kũrĩKamagĩra ya Rikoinĩ,Kikuyu
Chetumalcity irĩa nene yaMexico.,Kikuyu
"Kamagĩra (kuuma kiugo ""kũgĩra"") kana beeri(kuuma kiugo kĩaNgeretha""Ferry"") nĩ gatarũ kanaMbĩrĩcũĩrĩa ĩkuagaandũ,  mĩrigo kũringa mariia kana njũĩ",Kikuyu
"Nĩ ũndũ ũcio, ũrũaru ũcio nĩ wagomeire na njĩra nene mũno harĩ atumia na ciana.",Kikuyu
cirũ wa gp aciarirwo ta mary wanjirũ wa kĩarie mwaka-inĩ wa 1983 koinĩ-inĩ ya kĩambu.,Kikuyu
Nĩ nyamũ nene gũkĩra nyamũ ciothe thĩini ya thĩ.,Kikuyu
"Rũiyũkagia cuba ĩcio ta utũgi kuma makai na gũhũthĩra ta mũũro wawĩini, mũũro wa kũmburia mĩthaiga na kabirũ.",Kikuyu
Igoti riri riukaga rina rangi uhanaine na rangi wa mubuto.,Kikuyu
Brazil kwaragio ruthiomi twa portugese na nogwo bururi thĩinĩ wa Amerika ya Kuthini waragio portugese.,Kikuyu
>>andũ othe nĩ macokaga gũkua (andũ nĩ nyakua)-kĩrica kĩa mbere,Kikuyu
"SWOT nĩ ĩtũmagirwo gũthuthuria mũndũ, kambuni, ikundi cia iwanda, thithitemu, kothi mundu areka na maũndũ mangĩ.",Kikuyu
Chortoqcity irĩa nene yaUzbekistan.,Kikuyu
"Mukenia
Muthanduku
Muiri
Mukima
Mubau
Muthithinda
Muroha
Muthiti",Kikuyu
Nĩ ĩhũthĩrĩtwo mĩthakoinĩ ya gũikia na kũnyita.,Kikuyu
"gũthunguduo kwa magűrű
mũgogoteni
Injini ya ndogo ya maĩ
Ngari cia maguta ma Betũrű",Kikuyu
Zaozhuangcity irĩa nene yaChina.,Kikuyu
City ya Kraków irĩ igũrũ mũno ta 188–383 m.,Kikuyu
Calcium ĩhothaga elektroni igirĩ na gutwika cation ina caji igirĩ positive.,Kikuyu
City ya Chortoq irĩ igũrũ mũno ta 521 m.,Kikuyu
"Thoome-inĩ ya wonjoria cia kũruta,kĩhũndanĩ itĩna rĩrĩa arutwo na aciari ao mathiaga kũgũra indo cia mathomo na nguo cia mwaka wa cukuru.",Kikuyu
Yongzhoucity irĩa nene yaChina.,Kikuyu
Mīaka-inī ya 1950s terebiceni nīyo yarī mūtambo ūrīa wahūthīkaga mūno gūkinyīra mūingī.,Kikuyu
Andũ a marika ma nahau kabere magakĩũria ciuria kumana na motaaro na maũgĩ marĩa marakĩrutanwo thaa ici.,Kikuyu
City ya Ponte dell'Olio irĩ igũrũ mũno ta 217 m.,Kikuyu
Nukuscity irĩa nene yaUzbekistan.,Kikuyu
O ho no ciarĩithagio nĩgwo inyite itemi mĩthako-inĩ ya haranio cia ngũkũ.,Kikuyu
"Rochester(/ˈrɒtʃɛstər,-ɪs-/) nĩ gĩcagi kĩa New York na nĩkuo gĩturwa kĩa Monroe County.",Kikuyu
Zhuozhoucity irĩa nene yaChina.,Kikuyu
Ndĩ niĩ tondũ wĩ we (South Abĩrika),Kikuyu
Liupanshuicity irĩa nene yaChina.,Kikuyu
Gĩkenonĩ mũtũũrĩre wa meciria ũrĩ na wembemba wa maũndũ maingĩ mena taatha yakwendeka.,Kikuyu
"Aakuire thutha wa kũgĩa na mathĩna ma kansa ya matumbĩ mweri 25 wa Septemba mwaka wa 2011"".",Kikuyu
New York City irĩ igũrũ mũno ta 10 m.,Kikuyu
"kũringana na maslow, andũ othe matarĩ na thĩĩna wa meciria mageragĩraga makinya maya mũtũrĩrĩ-inĩ",Kikuyu
Yangi Mirishkorcity irĩa nene yaUzbekistan.,Kikuyu
Nokuo mũndũ arutagwo mĩtugo ĩrĩa ĩtĩkĩrĩkĩte rũrĩrĩ-inĩ.,Kikuyu
Yvonne Chaka Chaka (ũciarĩirwo na rĩĩtwaYvonneMachaka; 1965) nĩ mũinĩri wa nyĩmbo kuuma Afrika ya Mũhuro.,Kikuyu
Ndũgũkaingĩ ĩkoragwo ĩkĩorota maũndũ ta maya:,Kikuyu
Suifenhecity irĩa nene yaChina.,Kikuyu
"Nimeyakite nduriri ya Mozdahir kou Senegalese tauni ta Dakar, Dahra Djoloff Kolda, Ziguinchor, Saloum na Velingara.",Kikuyu
"Ndurumeni ĩrarũmĩrĩra Ray, ũrĩa arĩ mũmbirarũ atana-ikio njera na rĩoho rĩa mĩeri 18 na ihĩtia rĩa kũũraga comba.",Kikuyu
"City ya Bogotá irĩ igũrũ mũno ta 2,640 m.",Kikuyu
"Mītambo īno yambirie kũhũthĩka mīaka-inī ya 1920s, no nīyaikaragire kahinda ītambītie kwendio kūrī ahūthīri.",Kikuyu
Ona thengi ya kumenererio thirikari niyaregire gucoka thutha.,Kikuyu
City ya Cairo irĩ igũrũ mũno ta 23 m.,Kikuyu
Mbogo nĩ ya kĩrathi kia Mammals kia Baoyorojĩ.,Kikuyu
Wycliffe nĩ aendekithirie Bibilia ĩtaũrio na rũthiomi rwa andũ aingĩ.,Kikuyu
Îri na andú Milioni magana mathatu koguo ni ya kathatu nthí íría ina andu engí mûno nthi ngima.Ní nthi ya búrúrí 50 na Washington DC.,Kikuyu
"City ya Guiyang irĩ igũrũ mũno ta 1,275 m.",Kikuyu
"Mwaka wa 1943, famĩlĩ ya Maathai nĩ ĩathamĩire mũgũnda-inĩ wa athũngũ hakuhĩ naNakuru, kũrĩa ithe aakoretwo agakorũo na wĩra.",Kikuyu
'Andũ makwenda kũgũithia ndamathia',Kikuyu
Ikoi itugaga mwana namwĩmuutona kũaũra moko ma mũciari ahote kũhangĩra maũndũ mangĩ.,Kikuyu
Yaiyũkirie igweta ta ng'ũnd'ũ njerũBũrũriwaAmerikamwaka wa 1896.,Kikuyu
Nyina wake oigire atĩ nĩ aakuire nĩ ũndũ wa Kũrũgama ngoro.,Kikuyu
"97,600 wao maatũũraga Latgale, 29,400 kũu Riga na 14,400 kũu kĩcigo kĩamũre kĩa Riga.",Kikuyu
>> socrates nĩ mũndũ -kĩrica gĩa keerĩ,Kikuyu
Nĩ ĩrĩ na bata mũno harĩ ũthimi wa ũraihu wa rũũĩ.,Kikuyu
"Ĩvakanĩté naKanadamwena wa ígúrú,Mexikomwena wa ítherero .",Kikuyu
ĩmwe ĩrĩa ĩratanahĩirwo nĩ Aristotle nĩ:,Kikuyu
Mwaka wa 2004 nĩatuĩkire mũndũ-wa-nja wa mbere kuuma Afrika kũheo Kĩheo kĩa Nobel gĩa Thayũ[1][2],Kikuyu
"Nĩ gĩtĩrĩngĩ kĩembembanĩtie mĩthemba mĩingi ya mawigwi, tamĩmako('awuu!'",Kikuyu
"Uthami uyu niwarehire mogaruruko maingi muno, na terebeni ikiongereka.",Kikuyu
Habayanĩ kĩmuura kĩa gacoki ka thĩinĩ wa mĩĩrĩ yanyaműkena wandandu na ũgucũki na kamamĩraga rungu rwagĩthũri.,Kikuyu
Mũkuru wenjirwo kũnyithania maria ma Atlantic na Pacific ũrĩa wa kuhĩhirie njira ya meri.,Kikuyu
Nguru nĩ nyũa kũhĩbĩria mũtumia wayo.,Kikuyu
Yambĩrĩire bũrũri-inĩ waTunisiata icũgita rĩa gũkũmithia ungumania na ũtũũro kũritũha.,Kikuyu
Kwĩ mabururi mariagwongimaya Mĩanga.,Kikuyu
"ona gűtuika thutha űyű nĩ kumeyekanite atĩ nĩkurĩ tűnyamu tűnini kűrĩ atomu, űgĩ na mwĩciririe űyű wa ngiriki nĩ watethirie műno.",Kikuyu
"mabataro ma karungo ga keerĩ nĩ: wendo, ũrata, gũkorwo na mũciĩ",Kikuyu
Tegucigalpacity irĩa nene yaHonduras.,Kikuyu
Njata ihana riua iria ikoragwo nakũu igũru.,Kikuyu
"Kũringana na rũgano rũu, Wycliffe nĩ erekanire kũruta Bibilia ya Kĩngeretha ya gatagatĩ kuuma Vulgate, ĩrĩa rĩu ĩtagwo Bibilia ya Wycliffe.",Kikuyu
"Kwĩna ceceni cia maũndũ matiganĩte ta mohoro, mathako, ũhuthuria, mahunjio, mbiashara ona iria cia maũndũ ma gũkenia.",Kikuyu
City ya Vigolzone irĩ igũrũ mũno ta 151 m.,Kikuyu
"thutha mũtheri nĩ gũkoragwo na ""aciari"" na ""njiarwo"".",Kikuyu
Niaoikaini nigokorwo Munene wa kanitha wa Shi’i kou Senegal na West Africa.,Kikuyu
"Thinema rungu rwa ngoga 'Scarred: The Anatomy of a Massacre', ya Judy Kibingenĩyo yarĩ thinema ya mbere kũmũrĩka matuĩka ma njũragano ĩno.",Kikuyu
"Ceceni ici no taNjata TV, Inooro TV, Gikuyu TVnaKameme TV.",Kikuyu
(ngerekano ĩno ĩraheanirwo nĩ crash course kuuma rũrenda rwa youtube),Kikuyu
"wahota kwanjiria ũndũ ũkũhigũrĩre mieke, ta kwanjia kiwanda gia  guthondeka mĩnyore ũgĩe na mweke wa gũthondeka iraĩ cia pracitiki.",Kikuyu
Ruichangcity irĩa nene yaChina.,Kikuyu
Ndege ĩyo mũthemba wa kĩbĩrĩrĩki (helicopter) yarorete itũũra rĩaObuasimĩhango-inĩ ya kũrũa na ngware ngananie (“galamsey”).,Kikuyu
City ya Jiamusi irĩ igũrũ mũno ta 83 m.,Kikuyu
Kambĩ karĩ na itiema rĩa keerĩ mbere ya kabĩ na thutha wa kĩĩga macũmbũrano-inĩ mamwĩrĩ.,Kikuyu
Ngerekano ĩngĩtũtethia kũtaũkwo nĩ kũthagumia wĩra wa kanoca thĩinĩ wagĩkengokĩa ngukumĩ.,Kikuyu
City ya Zaozhuang irĩ igũrũ mũno ta 167 m.,Kikuyu
nĩ itũũrabũrũri-inĩwaSwissland.,Kikuyu
"Na ena itanya rĩa kwĩrĩhĩria, baba wa mũtigaire arĩhire Mũrĩithi wa njera (ũrĩa athakirwo nĩ David Field) kũritũhia mũtũrĩre wa Ray njera-inĩ.",Kikuyu
mĩtereko yothe ya ũcũrania wa ngunyĩrĩko ndĩrĩŨmenyo wĩna nganja (epistemic uncertainity).,Kikuyu
Andũ agima nĩo maikaragia ciana thĩ makamahe kĩrĩra makĩhũthira ng’ano.,Kikuyu
Amerikani nthi ĩrĩa ĩriamerika ya ĩgũru.,Kikuyu
City ya Shoʻrchi irĩ igũrũ mũno ta 491 m.,Kikuyu
City ya Oqtosh irĩ igũrũ mũno ta 461 m.,Kikuyu
Zouchengcity irĩa nene yaChina.,Kikuyu
Mbirikicũ nĩ itunda rĩa mũthiũrũre rĩamũtĩwa Mũbirikicũ.,Kikuyu
Shangqiucity irĩa nene yaChina.,Kikuyu
"Thutha wa mbara ya kerī nene ya thī( World War II), kūrī mūtambo waumire ūrīa wahūthīkire mūno mabūrūri-inī maUnite Statesna Britain.",Kikuyu
Lianyungangcity irĩa nene yaChina.,Kikuyu
"black lives matter(blm) nĩ uuge wĩna kĩhumo bũrũri-inĩ waamerica, na ũrathegea mabũrũri-inĩ magĩ.",Kikuyu
"Mũgĩkũyũ nĩekĩrĩiere mũno maũndũ ma ũndũire wake ta wathĩki, ũnyitnĩri, ũrũmwe na wohanĩri.",Kikuyu
>>socrates nĩ arĩ coka gũkua (socrates nĩ nyakua) -gĩtereko,Kikuyu
Xiangcheng Cityirĩa nene yaChina.,Kikuyu
City ya Suifenhe irĩ igũrũ mũno ta 464 m.,Kikuyu
"Watho wa thiomi wa Latvia ũkoragwo ũgĩtĩrĩnga rũthiomi rũrũ ta ""mũrũmbũ wa kĩndũire gĩa tene gĩa rũthiomi rwa Kĩlatvia"".",Kikuyu
gĩtereko gĩkinyagĩragwo thutha wa mimaniokĩrica (premise)gĩkaru na kĩrica nyang'ania.,Kikuyu
Ngai atumite musa kure cia israeli meke ũria endete.,Kikuyu
Kwĩ hĩndĩ thĩ ĩtoakaine ũraia ĩhana.,Kikuyu
Ũũ nĩgũkorwo atĩ ciana ina mĩtugo mĩega nĩ huthu gũikaranĩa nacio na ciana ici iheaga mũndũ gĩtĩyo kĩrĩa kĩmwagĩrĩire.,Kikuyu
Cia mohoro ni taBBC Worrld NewsnaKTN News TV.,Kikuyu
ngũkũ(Gallus domesticus) nĩ mũthemba wa nyoni iria cirĩithagio nĩũndũ wa nyama ciao na matumbĩ.,Kikuyu
Lengshuijiangcity irĩa nene yaChina.,Kikuyu
Maundu maria biacara kana mundu atahotaga gwika kana gwika wega,Kikuyu
Kĩheo gĩkĩ kĩheirwo andũ erĩ nĩ űndű wa űtuĩria wa gűthondeka mĩtego ya henuki(photon) na Ioni.,Kikuyu
"Sonnia Nzilani Musyoka aciarirwo mwaka wa 1980 itũũra rĩa Masongaleni, Makueni County, Kenya.",Kikuyu
"Thĩinĩ waũgĩ wa muoyo, kambĩ nĩ ngarana yaKabĩcia mĩthemba ũmwe na kĩrĩra kĩmwe.",Kikuyu
Hĩnwa nĩ kiugo kanaUugeũrĩa wĩkĩkaga wo wiki na ĩrĩ nongorio ya mawigwi ma hi na hi  wa ũrirũ mũna kana thari.,Kikuyu
City ya Hinesville irĩ igũrũ mũno ta 23 m.,Kikuyu
"mabataro ma nyarĩrĩ maMũndũnĩ:Mĩhũũmũ, irio,maaĩ, thingira, matonyo na toro.",Kikuyu
"wonjoria,Ũteti, na wĩtĩkio(ndini) nĩ imwe cia iharo iria mathomo ma mbũgĩ cia kĩrĩndĩ itonyaga.",Kikuyu
Icicio igariũraga  njĩra ũtheri na mũkunga wĩna mũruna mũkaranu na njĩra ĩiganaine na ũrĩa ũtheri ũrathiĩ.,Kikuyu
Mahinda magagĩkundera marĩa aciari na ciana monanaga na kũhota kwaranĩria.,Kikuyu
Kũgerithimithia kwa gũtumira Mecirianĩ gutumagirwo muno thiini waKwotamu mekanik[1] iria ikoniĩ Kĩheo Kĩa ũtuĩria uũria wekirwo nĩ andű aya.,Kikuyu
Ngonyanĩ mũthako wa ititika rĩa hakuhĩ ũthakagwo nĩ mĩahũ erĩ cia athaki ikũmi na ithano kana mũgwanja.,Kikuyu
Andijancity irĩa nene yaUzbekistan.,Kikuyu
Mahinda magĩthiĩte macenjetiena o kinya mĩikarĩre mĩciĩ-inĩ ĩkagarũrũka.,Kikuyu
Nĩũndũ ũcio kambuni ta Disney nĩ igũthie  na mbere gũkorwo ikĩnyita itemi inene mũno hari ũreri wa ciana cia mahinda maya tũrĩ.,Kikuyu
Igoti riri rikiragwo niundu wa heho na rionekaga muno mabururi ma athungu.,Kikuyu
Mũtitũ mũnene muno na uria uteithagia kwagiria riera.,Kikuyu
City ya Ji'an irĩ igũrũ mũno ta 62 m.,Kikuyu
Mũtaratara wa kũruta wĩra wa kũruta mabuku no ũhũthĩre:,Kikuyu
"Gũtee gĩtarania nĩ ndwari kĩakĩrũhaĩĩrĩa  ĩririmbũkaga ta gũkundera kwa mathugunda, mathagumia o hamwe nakũriganĩrwona njĩra nene.",Kikuyu
Mĩhothi ĩmwe ĩkoragwo na muoroto wa kũhe andũ mwĩhoko kũrĩ andũ amwe mathome.,Kikuyu
Rie gatagate wa abuku ria Thama na Ndari.,Kikuyu
[1]thabai/ hatha - stinging nettles.,Kikuyu
Muciĩ mũnene wa South Abĩrika nĩJohannesburg.,Kikuyu
"O ta ũrĩa cuba ĩcio ĩthiaga ĩkĩbatarĩka makĩria nĩ hakoragwo na ũkunderu wa gĩkeno,Njũgitanona mbaara.",Kikuyu
"Akiruta Ciarabu, Githugu, Kifaraja, Pulaar [Fulfulde], na Wolof.",Kikuyu
"Mweri wa 1984, nĩ aheo kĩheo kĩa Right Livelihood Award nĩ ũndũ wa ""kũgarũra ngarari ya ecology ya Kenya ĩtuĩke ya kũiga mĩtĩ ĩngĩ"".",Kikuyu
O ho nĩ athakagĩraga cukuru mwena wa mũhuro wa Florida.,Kikuyu
Mwakaini wa ngiri igiri na ikumi na mugwanja,Kikuyu
"Ikiragwo muno muno thiini wa magongona taa uhiki, mathiko kana gwikirwo ni andu magithii handu ha bata ta wabici.",Kikuyu
City ya Nukus irĩ igũrũ mũno ta 76 m.,Kikuyu
Kĩharo kĩa mbere gĩekĩirũo njũng'wa-inĩ ya AMC Theatres thĩinĩ wa King Abdullah Financial District ya Riyadh.,Kikuyu
"Kurunĩ mũrimũ wa kũmoca kwa tombo na ũtarĩ ndawa ũrĩa kabere wa gomeraga rũrĩrĩ rwa Fore,  andũ arĩa matũũraga Papua New Guinea.",Kikuyu
Ikoi nĩ ĩkoretwo ĩhũthĩrĩtwo kwa ihinda rĩa mĩaka makiri maingĩ.,Kikuyu
"Rĩrĩa acinĩkaga, Bushnell nĩ akayaga ""Free Palestine!",Kikuyu
Mũciĩ mũnene wa Cambodia nĩPhnom Penh.,Kikuyu
Cenita Ĩgoka nĩ Future Centers.,Kikuyu
