Language,Text,Cleaned_Text
English,"I have a tendency to not drink enough water pretty much ever. Lately I've been trying to remedy that, but I've come across a few problems: one, that bottled water is expensive and harmful to the environment; and two, that city water in my area tastes downright horrible. These little packets are a lifesaver for sure! Great taste and significantly less waste, plus the added electrolytes are a great bonus.",i have a tendency to not drink enough water pretty much ever lately ive been trying to remedy that but ive come across a few problems one that bottled water is expensive and harmful to the environment and two that city water in my area tastes downright horrible these little packets are a lifesaver for sure great taste and significantly less waste plus the added electrolytes are a great bonus
English,The kids are hard to get on,the kids are hard to get on
English,I wanted to buy these glasses to flex on some people. When I put them on I found out for an average male head they are too small to fit on my head. My girlfriend had no issue and they worked great but it just was too small for me and so I returned them.,i wanted to buy these glasses to flex on some people when i put them on i found out for an average male head they are too small to fit on my head my girlfriend had no issue and they worked great but it just was too small for me and so i returned them
Sheng,Manzi ina-bamba area.,manzi inabamba area
English,We bought these and had some technical issues within a year of purchase. Called the company and they immediately sent out a replacement pair. Excellent customer service. Would recommend!,we bought these and had some technical issues within a year of purchase called the company and they immediately sent out a replacement pair excellent customer service would recommend
Sheng,Buda ina-bamba kwa matha.,buda inabamba kwa matha
English,Would prefer solid stoppers...too flexible,would prefer solid stopperstoo flexible
Swahili,"Ndani ya ( compound ya mashariki ) ndio octagonal yumedono ( ukumbi wa ndoto ) , ambaye ni exquisite wa exquisite kannon sanamu alikuwa kuwa mtakatifu hiyo kabisa kutokana na macho ya binadamu kutoka kwa kujitolea kwake mwaka 737 hadi 1884 , wakati huo alikuwa na ziara ya sanaa ya marekani ya marekani pamoja na baraka za serikali ya mijimiji , bila shaka .",ndani ya compound ya mashariki ndio octagonal yumedono ukumbi wa ndoto ambaye ni exquisite wa exquisite kannon sanamu alikuwa kuwa mtakatifu hiyo kabisa kutokana na macho ya binadamu kutoka kwa kujitolea kwake mwaka 737 hadi 1884 wakati huo alikuwa na ziara ya sanaa ya marekani ya marekani pamoja na baraka za serikali ya mijimiji bila shaka
Swahili,"Jengo hilo lilikuwa kama nyumbani , she , na hivyo ilikuwa ni muhimu ambaye angekuwa anaishi hapo .",jengo hilo lilikuwa kama nyumbani she na hivyo ilikuwa ni muhimu ambaye angekuwa anaishi hapo
Sheng,Donda ame-hepa area.,donda amehepa area
Swahili,Big big weddings just bride ' s dresses na vitu kama hiyo kwa watu ndio najua,big big weddings just bride s dresses na vitu kama hiyo kwa watu ndio najua
Swahili,Yeah that ' s what i ' ve actually told i ' ve sijawahi kuwa na kimbunga,yeah that s what i ve actually told i ve sijawahi kuwa na kimbunga
Sheng,Mbogi ime-weza kwa keja.,mbogi imeweza kwa keja
English,"overdone, relentless lecturing on leftist identity politics. puke. would love to get my money back on this one.",overdone relentless lecturing on leftist identity politics puke would love to get my money back on this one
English,"I slouch at work sitting at a desk all day. Was trying to find a good solution to help alleviate the slouching and back pain. This posture corrector has definitely helped! I am sitting straighter and the pain has lessened.This posture corrector has given me strong support for my back, without restricting my movements.",i slouch at work sitting at a desk all day was trying to find a good solution to help alleviate the slouching and back pain this posture corrector has definitely helped i am sitting straighter and the pain has lessenedthis posture corrector has given me strong support for my back without restricting my movements
Kikuyu,Oro hau magoti no makoro na ngubia ya guikira,oro hau magoti no makoro na ngubia ya guikira
Sheng,Huyu boy ina-lapa tao.,huyu boy inalapa tao
Kikuyu,nĩ itũũrabũrũri-inĩwaSwissland.,nĩ itũũrabũrũriinĩwaswissland
Swahili,Same na wa oh we ' ll,same na wa oh we ll
Sheng,Rasta ame-hepa base.,rasta amehepa base
English,They dont seen to fit right,they dont seen to fit right
Swahili,"Utawala wa chakula na madawa ya kulevya ni mashaka ya uwezo wa uwezo wa kuondoa maumivu , lakini disemba ya mwisho mara mpya ilichapisha habari kuhusu mtafiti katika taasisi ya baylor kwa ajili ya utafiti wa kurekebisha nani kwamba sumaku kwa kiasi kikubwa pungua maumivu ya polio ya polio .",utawala wa chakula na madawa ya kulevya ni mashaka ya uwezo wa uwezo wa kuondoa maumivu lakini disemba ya mwisho mara mpya ilichapisha habari kuhusu mtafiti katika taasisi ya baylor kwa ajili ya utafiti wa kurekebisha nani kwamba sumaku kwa kiasi kikubwa pungua maumivu ya polio ya polio
Sheng,Msee wame-kam kwa matha.,msee wamekam kwa matha
English,Looks great takes some time to get use to,looks great takes some time to get use to
Sheng,Msee ina-bamba chuom.,msee inabamba chuom
Sheng,Karao tuna-chill base.,karao tunachill base
Swahili,Alikuwa katika wakati huo katika tetemeko ya kawaida ya tetanic .,alikuwa katika wakati huo katika tetemeko ya kawaida ya tetanic
English,This toy will start wiggling even from the toy box when no one is playing with it. This can be scary for a toddler especially in the middle of the night.,this toy will start wiggling even from the toy box when no one is playing with it this can be scary for a toddler especially in the middle of the night
Swahili,"Na hivyo economists na , zaidi na zaidi , tu somo hilo ; na kuwa binadamu , na rationalize na kuwa kwamba somo hilo si muhimu sana .",na hivyo economists na zaidi na zaidi tu somo hilo na kuwa binadamu na rationalize na kuwa kwamba somo hilo si muhimu sana
Kikuyu,City ya Vigolzone irĩ igũrũ mũno ta 151 m.,city ya vigolzone irĩ igũrũ mũno ta 151 m
Sheng,Mbogi ina-lapa kwa matha.,mbogi inalapa kwa matha
English,These pillows were very flimsy and need more filling. I ended up doubling them up in a pillow case and still didn’t look as stuffed as I had hoped. I should have known before opening the bag. The bag was very small,these pillows were very flimsy and need more filling i ended up doubling them up in a pillow case and still didnt look as stuffed as i had hoped i should have known before opening the bag the bag was very small
English,Have not tried it yet as it did not come with a manual for operating instructions.,have not tried it yet as it did not come with a manual for operating instructions
Sheng,Mbogi ana-dai mtaa.,mbogi anadai mtaa
Sheng,Buda ame-hepa mashinani.,buda amehepa mashinani
Kikuyu,"Nimeyakite nduriri ya Mozdahir kou Senegalese tauni ta Dakar, Dahra Djoloff Kolda, Ziguinchor, Saloum na Velingara.",nimeyakite nduriri ya mozdahir kou senegalese tauni ta dakar dahra djoloff kolda ziguinchor saloum na velingara
Kikuyu,Ng’ano-inĩ nĩkuo gwakoragwo na motarii maũrĩa mũndũ agĩrĩirwo nĩgũikarania na aria angĩ.,nganoinĩ nĩkuo gwakoragwo na motarii maũrĩa mũndũ agĩrĩirwo nĩgũikarania na aria angĩ
English,"Good size, easy to use. But they came very dull, and sharpening them from dull was not simple. But I'm happy with them",good size easy to use but they came very dull and sharpening them from dull was not simple but im happy with them
Swahili,Yeah and i mean papers zimejaa tu kwa hii mambo yote kuhusu mfumo wa elimu wao viwango vyao na hii na nyingine na kudai hii inaenda kufanya kila kitu bora zaidi,yeah and i mean papers zimejaa tu kwa hii mambo yote kuhusu mfumo wa elimu wao viwango vyao na hii na nyingine na kudai hii inaenda kufanya kila kitu bora zaidi
English,"It is slippery! Every night I have to get up and remake the bed because the blanket slides off the bed during the night. It is very frustrating and my husband hardly ever gets it on his side. Also, it BARELY fits the King size bed.",it is slippery every night i have to get up and remake the bed because the blanket slides off the bed during the night it is very frustrating and my husband hardly ever gets it on his side also it barely fits the king size bed
Swahili,"Notice the vibaramwezi , mostly in magofu , hiyo mara moja ya ground .",notice the vibaramwezi mostly in magofu hiyo mara moja ya ground
English,"The product looks okay, haven't used them yet, but was surprised that delivery would not be made to Canada, very inconvenient.",the product looks okay havent used them yet but was surprised that delivery would not be made to canada very inconvenient
English,3 stars because these are not rear brakes as stated in the item description. At least the mount adapter only worked on the front fork of the bike that I got it for.,3 stars because these are not rear brakes as stated in the item description at least the mount adapter only worked on the front fork of the bike that i got it for
Sheng,Rasta ame-hepa downtown.,rasta amehepa downtown
English,Fascinating premise and characters. The only criticism I have is that it seemed to drag a bit in the middle of the book. The family involved are wealthy but amoral and any one could be the guilty party in the murders that occurred decades ago and recur in the timeline of this book.,fascinating premise and characters the only criticism i have is that it seemed to drag a bit in the middle of the book the family involved are wealthy but amoral and any one could be the guilty party in the murders that occurred decades ago and recur in the timeline of this book
Kikuyu,"Thiku ici nowĩrorere mbica cioyetwo mbere nĩũndũ nĩ kũrĩ na indo cia kũiga mbica icio taDVD, flash drives, CDnavideo recorders.",thiku ici nowĩrorere mbica cioyetwo mbere nĩũndũ nĩ kũrĩ na indo cia kũiga mbica icio tadvd flash drives cdnavideo recorders
English,Not the best but gets the job done,not the best but gets the job done
Sheng,Buda wame-kam chuom.,buda wamekam chuom
Sheng,Huyu boy ame-hepa area.,huyu boy amehepa area
English,terribly made. cheap material. broken zipper,terribly made cheap material broken zipper
Sheng,Manzi ana-zusha mtaa.,manzi anazusha mtaa
Sheng,Ma-dem ana-dai base.,madem anadai base
Sheng,Huyu boy ame-hepa mashinani.,huyu boy amehepa mashinani
Swahili,Mamia ya maelfu huja kila kutazama rangi za kuvutia kutoka kwa hekalu la hekalu la temple ( njia ya mbinguni ),mamia ya maelfu huja kila kutazama rangi za kuvutia kutoka kwa hekalu la hekalu la temple njia ya mbinguni
Sheng,Donda ina-lapa mtaa.,donda inalapa mtaa
Sheng,Rasta wame-kam mtaa.,rasta wamekam mtaa
Kikuyu,Xiangcheng Cityirĩa nene yaChina.,xiangcheng cityirĩa nene yachina
Kikuyu,Kũgerithimithia kwa gũtumira Mecirianĩ gutumagirwo muno thiini waKwotamu mekanik[1] iria ikoniĩ Kĩheo Kĩa ũtuĩria uũria wekirwo nĩ andű aya.,kũgerithimithia kwa gũtumira mecirianĩ gutumagirwo muno thiini wakwotamu mekanik1 iria ikoniĩ kĩheo kĩa ũtuĩria uũria wekirwo nĩ andű aya
Swahili,Na wewe cash kwenye vipindi vyako vya buckle kama chipsi za kasino .,na wewe cash kwenye vipindi vyako vya buckle kama chipsi za kasino
English,"They are really nice and good material but, I’m not satisfied with this bc I order them brand new and they look like that and I’m sure they will get loses soon bc of the end not tight right. U can see in the pic.",they are really nice and good material but im not satisfied with this bc i order them brand new and they look like that and im sure they will get loses soon bc of the end not tight right u can see in the pic
Sheng,Karao ame-omoka base.,karao ameomoka base
Kikuyu,Lengshuijiangcity irĩa nene yaChina.,lengshuijiangcity irĩa nene yachina
English,"I’m in love with this, this will be perfect for Nursing School but I only gave 4 stars because the rings should be bigger from the box and I feel you shouldn’t haft to buy bigger rings since you haft to buy all the add ins!",im in love with this this will be perfect for nursing school but i only gave 4 stars because the rings should be bigger from the box and i feel you shouldnt haft to buy bigger rings since you haft to buy all the add ins
English,No exterior protective packaging. Product came partially opened due to flimsy box. Damp as well. How much would it have cost for them to put some brown paper around it rather than just slapping a mailing sticker on the red and black displaying box? Haven’t used the product yet to determine quality of the warmer itself.,no exterior protective packaging product came partially opened due to flimsy box damp as well how much would it have cost for them to put some brown paper around it rather than just slapping a mailing sticker on the red and black displaying box havent used the product yet to determine quality of the warmer itself
Kikuyu,City ya Oqtosh irĩ igũrũ mũno ta 461 m.,city ya oqtosh irĩ igũrũ mũno ta 461 m
Swahili,"Lakini matokeo hayo ni ya bure , kwa kuwa tiba kamili sio chaguo .",lakini matokeo hayo ni ya bure kwa kuwa tiba kamili sio chaguo
Sheng,Msee ime-weza tao.,msee imeweza tao
Sheng,Rasta wame-kam mashinani.,rasta wamekam mashinani
Sheng,Mbogi ina-bamba base.,mbogi inabamba base
English,It is exactly what I ordered and what I needed at a good price,it is exactly what i ordered and what i needed at a good price
Swahili,"Baada ya yote , ni movie tu .",baada ya yote ni movie tu
Swahili,Bush alikuwa hakuna maswali kuhusu elimu na ni moja tu kuhusu ustawi .,bush alikuwa hakuna maswali kuhusu elimu na ni moja tu kuhusu ustawi
English,"Very handy, easy to handle and utilize, also stays in the wall socket better than others that size.",very handy easy to handle and utilize also stays in the wall socket better than others that size
Kikuyu,"Ũhoro wa gũbogotha nĩ wonekaga thĩinĩ wa ""Petals of Blood"" yaNgũgĩ wa Thiong'oituĩka rĩrĩa mũrwaru Joseph arakomete akietherwo ha kũhurũka.",ũhoro wa gũbogotha nĩ wonekaga thĩinĩ wa petals of blood yangũgĩ wa thiongoituĩka rĩrĩa mũrwaru joseph arakomete akietherwo ha kũhurũka
Sheng,Ma-dem ina-bamba kwa matha.,madem inabamba kwa matha
Swahili,"Naam , hakuna tatizo hilo yeye na hili matata kidogo na mashine ya atm na yeye tu kwamba yeye rekodi za heshima kwa haki .",naam hakuna tatizo hilo yeye na hili matata kidogo na mashine ya atm na yeye tu kwamba yeye rekodi za heshima kwa haki
Swahili,"Satheri kama kupata bunches kubwa kupitia katika conjuration moja , kama vile haul wao kutoka kwa wahanga wa mtu aitwaye tamerlane. yeye kamba , kisha imeshuka kwenye nafasi ya kukaa kwenye ukingo wa block .",satheri kama kupata bunches kubwa kupitia katika conjuration moja kama vile haul wao kutoka kwa wahanga wa mtu aitwaye tamerlane yeye kamba kisha imeshuka kwenye nafasi ya kukaa kwenye ukingo wa block
Swahili,Aliweza kuchimba kitanga kidogo kwenye mchanga kabla ya angusha kulala .,aliweza kuchimba kitanga kidogo kwenye mchanga kabla ya angusha kulala
Swahili,"Wakati matokeo fit , pattern ni .",wakati matokeo fit pattern ni
English,A sturdy board book with bright illustrations - a definite toddler pleaser!,a sturdy board book with bright illustrations a definite toddler pleaser
English,Love Acer's...this is my 6th one... I up grade and give older tablets to others..this is middle of the road not hi end but good for Bible study.... bought two and one the touch screen is not very sensitive...really have to pay attention.,love acersthis is my 6th one i up grade and give older tablets to othersthis is middle of the road not hi end but good for bible study bought two and one the touch screen is not very sensitivereally have to pay attention
Swahili,Yakua ?,yakua
Kikuyu,"SWOT na  Gĩthűgű nĩ Strengths, Weakness, Opportunities and Threats.",swot na gĩthűgű nĩ strengths weakness opportunities and threats
Sheng,Karao ime-weza tao.,karao imeweza tao
Swahili,Maelezo kuendeleza kwenye hatari iliyopo ya usalama inayohusiana na,maelezo kuendeleza kwenye hatari iliyopo ya usalama inayohusiana na
Kikuyu,>>arũme aingĩ a bũrũri wa kĩgiriki marĩ na nderu ndaihu,arũme aingĩ a bũrũri wa kĩgiriki marĩ na nderu ndaihu
Kikuyu,mbũgĩ nĩ njokanĩrĩrio yothe ya meeciria na mathagumia ma tombo.,mbũgĩ nĩ njokanĩrĩrio yothe ya meeciria na mathagumia ma tombo
Swahili,Kuwa na kuheshimiwa na mameneja wa biashara ya shirika .,kuwa na kuheshimiwa na mameneja wa biashara ya shirika
English,"I made the mistake of buying these on my phone and did not carefully read the long winded title for the product. I thought I was buying what I was seeing... pillows. Nope only the covers. They seem okay, but I won't know until I go to the store and buy actual pillows to put in them. I wouldn't have paid this price for just the covers if I had noticed that.",i made the mistake of buying these on my phone and did not carefully read the long winded title for the product i thought i was buying what i was seeing pillows nope only the covers they seem okay but i wont know until i go to the store and buy actual pillows to put in them i wouldnt have paid this price for just the covers if i had noticed that
Sheng,Huyu boy ina-lapa area.,huyu boy inalapa area
English,I can just pack in in my purse and inflate when needed instead of carrying around non-compact pillow like everyone else,i can just pack in in my purse and inflate when needed instead of carrying around noncompact pillow like everyone else
English,"A great book, read it straight thru without pause. Keeps reader riveted waiting for the next problem to crop up and how it's solved.",a great book read it straight thru without pause keeps reader riveted waiting for the next problem to crop up and how its solved
Kikuyu,"mabataro ma karungo ga keerĩ nĩ: wendo, ũrata, gũkorwo na mũciĩ",mabataro ma karungo ga keerĩ nĩ wendo ũrata gũkorwo na mũciĩ
Swahili,"Leo , watetezi wa huduma za kisheria ni lugha za lugha ; asilimia 22 ya wafanyakazi katika programu za lsc katika nchi yangu ongea zaidi ya lugha moja .",leo watetezi wa huduma za kisheria ni lugha za lugha asilimia 22 ya wafanyakazi katika programu za lsc katika nchi yangu ongea zaidi ya lugha moja
English,Solved my issue with continuous flats,solved my issue with continuous flats
Swahili,Lengo lilikuwa ni kushawishi watu ambao wapo katika nafasi ya kufanya mabadiliko katika uwanja .,lengo lilikuwa ni kushawishi watu ambao wapo katika nafasi ya kufanya mabadiliko katika uwanja
Sheng,Rasta ana-dai downtown.,rasta anadai downtown
English,"The quality of the ""leather"" is definitely not like the photo shows. It is obvious to me that this is not distressed ""leather"". The magnet on the latch is not strong and will not hold it shut. I will be returning this.",the quality of the leather is definitely not like the photo shows it is obvious to me that this is not distressed leather the magnet on the latch is not strong and will not hold it shut i will be returning this
Swahili,"Ilikuwa , kama vile nimesema , ukaguzi inayopendelewa .",ilikuwa kama vile nimesema ukaguzi inayopendelewa
Kikuyu,Yongzhoucity irĩa nene yaChina.,yongzhoucity irĩa nene yachina
English,I live the Quality and the speed I got my package in,i live the quality and the speed i got my package in
Kikuyu,Yaiyũkirie igweta ta ng'ũnd'ũ njerũBũrũriwaAmerikamwaka wa 1896.,yaiyũkirie igweta ta ngũndũ njerũbũrũriwaamerikamwaka wa 1896
Sheng,Donda ame-omoka mtaa.,donda ameomoka mtaa
Kikuyu,Ginya ũmũthĩ ũyũ mabebe nĩmo irio ihandagwo kwa wĩingĩ nĩandũthĩĩ harĩa yarũma.,ginya ũmũthĩ ũyũ mabebe nĩmo irio ihandagwo kwa wĩingĩ nĩandũthĩĩ harĩa yarũma
Kikuyu,City ya Tegucigalpa irĩ igũrũ mũno ta 990 m.,city ya tegucigalpa irĩ igũrũ mũno ta 990 m
Kikuyu,City ya Margilan irĩ igũrũ mũno ta 495 m.,city ya margilan irĩ igũrũ mũno ta 495 m
Kikuyu,O ho mabebe nĩmagũmĩirwo nĩ ndwari na thambo nyingi na gũcũngĩrĩria mwanangĩko wa mbia ndora nyingĩ o mwaka.,o ho mabebe nĩmagũmĩirwo nĩ ndwari na thambo nyingi na gũcũngĩrĩria mwanangĩko wa mbia ndora nyingĩ o mwaka
English,the lashes are nice but the more plasticky lashes. Go for mink for that natural long lash look.,the lashes are nice but the more plasticky lashes go for mink for that natural long lash look
Sheng,Donda ame-omoka kwa matha.,donda ameomoka kwa matha
Kikuyu,City ya Hengyang irĩ igũrũ mũno ta 8 m.,city ya hengyang irĩ igũrũ mũno ta 8 m
English,Pretty dress but very thin fabric. Probably need to wear a slip underneath. But the price was right.,pretty dress but very thin fabric probably need to wear a slip underneath but the price was right
Sheng,Buda ame-doz downtown.,buda amedoz downtown
Sheng,Ma-dem ana-zusha kwa keja.,madem anazusha kwa keja
Kikuyu,Mũndũ ũrĩa angĩiyũkia indo ici etagwongĩũkanangĩa.,mũndũ ũrĩa angĩiyũkia indo ici etagwongĩũkanangĩa
Swahili,Hadithi ya kosovo maelezo mauaji ambayo kizalendo kizalendo na paramilitaries ameuawa angalau wanachama 21 wa familia moja .,hadithi ya kosovo maelezo mauaji ambayo kizalendo kizalendo na paramilitaries ameuawa angalau wanachama 21 wa familia moja
English,His Hammers Slammer s helped me get an understanding of what I was feeling on my return from Vietnam. I wrote my only fan letter to thank him for the help. He continues to write about real people and combat. Thanks again.,his hammers slammer s helped me get an understanding of what i was feeling on my return from vietnam i wrote my only fan letter to thank him for the help he continues to write about real people and combat thanks again
Sheng,Rasta tuna-chill chuom.,rasta tunachill chuom
Swahili,Wakati wa karne ya mweisho boma la utaifa na ujamaa imekuwa zoezi la karibu zaidi kwa majimbo yote ...,wakati wa karne ya mweisho boma la utaifa na ujamaa imekuwa zoezi la karibu zaidi kwa majimbo yote
English,"the rings are of good quality. However, they are too big for my liking. I am using them for my tragus piercing, and I feel I should have bought a smaller size. Yes, it is hard to put the closure in place, but it's doable.",the rings are of good quality however they are too big for my liking i am using them for my tragus piercing and i feel i should have bought a smaller size yes it is hard to put the closure in place but its doable
Kikuyu,"Thutha wa mbara ya kerī nene ya thī( World War II), kūrī mūtambo waumire ūrīa wahūthīkire mūno mabūrūri-inī maUnite Statesna Britain.",thutha wa mbara ya kerī nene ya thī world war ii kūrī mūtambo waumire ūrīa wahūthīkire mūno mabūrūriinī maunite statesna britain
English,"the seeds is good, i planting when i got them, and they don't grow flowers up to now. i will see them, four stars",the seeds is good i planting when i got them and they dont grow flowers up to now i will see them four stars
Kikuyu,('Chinekeme' kuumaNigeria)(Kĩngeretha'oh!,chinekeme kuumanigeriakĩngerethaoh
English,Not worth it. Battery door wouldn't even stay on. It's junk,not worth it battery door wouldnt even stay on its junk
Swahili,Wange kwa kiasi kikubwa baada ya ukaguzi wa ukweli kama kinyume na jukumu lake la sasa la awali .,wange kwa kiasi kikubwa baada ya ukaguzi wa ukweli kama kinyume na jukumu lake la sasa la awali
Kikuyu,Zouchengcity irĩa nene yaChina.,zouchengcity irĩa nene yachina
English,Love the hat! Great quality But it came in shaped wrong. It’s off center. Sadly I didn’t notice til after the return period was over.,love the hat great quality but it came in shaped wrong its off center sadly i didnt notice til after the return period was over
Kikuyu,"Rũthiomi rũu rũhũthagĩrũo mũno bũrũri-inĩ wa Latgale, mwena wa irathĩro wa Latvia.",rũthiomi rũu rũhũthagĩrũo mũno bũrũriinĩ wa latgale mwena wa irathĩro wa latvia
Swahili,That sounds great well you know it ' s funny kwa sababu duka la mboga chini ya mtaa ni moja kati ya hizi unajua super grocery stores ziko na chinese take-out,that sounds great well you know it s funny kwa sababu duka la mboga chini ya mtaa ni moja kati ya hizi unajua super grocery stores ziko na chinese takeout
Kikuyu,City ya Chortoq irĩ igũrũ mũno ta 521 m.,city ya chortoq irĩ igũrũ mũno ta 521 m
English,"There is memory foam in one, and not the other. Unfortunately I did not try them prior to the day I needed them to walk around a theme park. So it was a long, uncomfortable day.",there is memory foam in one and not the other unfortunately i did not try them prior to the day i needed them to walk around a theme park so it was a long uncomfortable day
Kikuyu,City ya Chetumal irĩ igũrũ mũno ta 10 m.,city ya chetumal irĩ igũrũ mũno ta 10 m
Sheng,Huyu boy ame-hepa downtown.,huyu boy amehepa downtown
Sheng,Msee ame-doz area.,msee amedoz area
Swahili,Hii itakuwa tofauti .,hii itakuwa tofauti
Sheng,Karao tuna-chill kwa keja.,karao tunachill kwa keja
Sheng,Ma-dem ame-doz mashinani.,madem amedoz mashinani
Swahili,"Sura hii hutumia programu ya muda tu ; hata hivyo , dhana walipo pia apply kwa ukaguzi wa mashirika , shughuli , na huduma .",sura hii hutumia programu ya muda tu hata hivyo dhana walipo pia apply kwa ukaguzi wa mashirika shughuli na huduma
English,"exactly as I ordered, hard to beat otterbox",exactly as i ordered hard to beat otterbox
Swahili,Michango ni ushuru wa ushuru .,michango ni ushuru wa ushuru
English,"Cost keeps going up, but the food is great for an energetic pup.",cost keeps going up but the food is great for an energetic pup
Kikuyu,Thoronjo nĩ nyeki ĩkũragio nĩũndũ wa gĩkono ciayo ingĩrĩĩka.,thoronjo nĩ nyeki ĩkũragio nĩũndũ wa gĩkono ciayo ingĩrĩĩka
Swahili,Bado kuna aina ya mafanikio na kuwa na wewe unajua kazi na kila hiyo na hilo,bado kuna aina ya mafanikio na kuwa na wewe unajua kazi na kila hiyo na hilo
English,"So we'll made, I was very impressed and happy to see them on my pillows.",so well made i was very impressed and happy to see them on my pillows
English,I love the soft feel and look of it although it isn't the best quality it has held up alright. The case broke in one corner but it's too cute to take off,i love the soft feel and look of it although it isnt the best quality it has held up alright the case broke in one corner but its too cute to take off
Swahili,"Kisha , haraka kama flash , tuppence jerked glass juu kwa bidii kama she .",kisha haraka kama flash tuppence jerked glass juu kwa bidii kama she
Swahili,"Mfanyakazi mwingine wa shamba , mwenye umri wa miaka 22 lopez , alikuwa na mimba ya miezi mitano wakati wa tukio la kuwanyunyuzia olathe tarehe 29. juni .",mfanyakazi mwingine wa shamba mwenye umri wa miaka 22 lopez alikuwa na mimba ya miezi mitano wakati wa tukio la kuwanyunyuzia olathe tarehe 29 juni
English,Interesting ideas but poorly written with very very simple language.,interesting ideas but poorly written with very very simple language
English,These are kind of flimsy. They work but I'm worried they might not hold and a drink will spill everywhere.,these are kind of flimsy they work but im worried they might not hold and a drink will spill everywhere
Swahili,Samahani mr. bork anakumbuka uhakiki wangu wa kitabu chake kama moja ya utathmini ya mlizikanusha .,samahani mr bork anakumbuka uhakiki wangu wa kitabu chake kama moja ya utathmini ya mlizikanusha
Swahili,"Miunganisho kati ya minyororo ya kisiwa ni maskini , kwa tofauti ya bandari ya piraeus na rafina kwenye bara la kigiriki , ambalo muabuduni kama barani wa usafiri kwa wale ambao wanatamani kusafiri kutoka kwenye mnyororo mmoja wa visiwa vya visiwa vingine .",miunganisho kati ya minyororo ya kisiwa ni maskini kwa tofauti ya bandari ya piraeus na rafina kwenye bara la kigiriki ambalo muabuduni kama barani wa usafiri kwa wale ambao wanatamani kusafiri kutoka kwenye mnyororo mmoja wa visiwa vya visiwa vingine
Kikuyu,"makĩria nĩataragĩragia ũrĩa nyina anyitĩtwo na akĩohwo mwaka mũgima, mbuguiro ĩrĩa ĩracũngĩrĩire we kũcenjereria mĩhang'o ya ũmathi..",makĩria nĩataragĩragia ũrĩa nyina anyitĩtwo na akĩohwo mwaka mũgima mbuguiro ĩrĩa ĩracũngĩrĩire we kũcenjereria mĩhango ya ũmathi
Sheng,Buda ina-lapa base.,buda inalapa base
Swahili,"Katika muktadha huu , gao hufanya kazi ili kuendelea kuboresha uchumi , ufanisi , na ufanisi wa serikali ya shirikisho kupitia mwenendo wa ukaguzi wa kifedha , ukaguzi wa programu , evaluations , anachambua , maoni ya kisheria , upelelezi , na huduma nyingine .",katika muktadha huu gao hufanya kazi ili kuendelea kuboresha uchumi ufanisi na ufanisi wa serikali ya shirikisho kupitia mwenendo wa ukaguzi wa kifedha ukaguzi wa programu evaluations anachambua maoni ya kisheria upelelezi na huduma nyingine
Swahili,Both zote zina vipande vya sayansi na maadili ya dawa za uzazi -- muda ni kabambe zaidi .,both zote zina vipande vya sayansi na maadili ya dawa za uzazi muda ni kabambe zaidi
English,"The installation was simple and straight to the point. Putting your head under there to reach was a bit hard. If you had problems like me, a hack and pliers made it easy. My issue was that the new side markers needed a bit of force to stretch the wiring harness so that the side marker clip can lock in (the clip on the right, the closest one with the led wire+plug).",the installation was simple and straight to the point putting your head under there to reach was a bit hard if you had problems like me a hack and pliers made it easy my issue was that the new side markers needed a bit of force to stretch the wiring harness so that the side marker clip can lock in the clip on the right the closest one with the led wireplug
English,my husband wanted these for my daughters house so when he goes over there to work he doesnt have to bring his tools all the time,my husband wanted these for my daughters house so when he goes over there to work he doesnt have to bring his tools all the time
Kikuyu,Rie gatagate wa abuku ria Thama na Ndari.,rie gatagate wa abuku ria thama na ndari
Sheng,Karao ame-hepa mtaa.,karao amehepa mtaa
Kikuyu,Hĩnwa nĩ kiugo kanaUugeũrĩa wĩkĩkaga wo wiki na ĩrĩ nongorio ya mawigwi ma hi na hi  wa ũrirũ mũna kana thari.,hĩnwa nĩ kiugo kanauugeũrĩa wĩkĩkaga wo wiki na ĩrĩ nongorio ya mawigwi ma hi na hi wa ũrirũ mũna kana thari
Swahili,Yeah well nimesikia mengi kuhusu kifaurongo kingdom,yeah well nimesikia mengi kuhusu kifaurongo kingdom
Swahili,Na nini ti ti,na nini ti ti
Kikuyu,Wycliffe nĩ aendekithirie Bibilia ĩtaũrio na rũthiomi rwa andũ aingĩ.,wycliffe nĩ aendekithirie bibilia ĩtaũrio na rũthiomi rwa andũ aingĩ
Kikuyu,Ng’ano ciahũthĩkaga kũruta ciana gũkorwo me andũ mena mĩthiĩre ĩtarĩ na ũcuke.,ngano ciahũthĩkaga kũruta ciana gũkorwo me andũ mena mĩthiĩre ĩtarĩ na ũcuke
English,"they send me a scale in envelope ,unbelievable! and of course after two weeks the scale it doesn't anymore you are so stupid!!!",they send me a scale in envelope unbelievable and of course after two weeks the scale it doesnt anymore you are so stupid
English,Not a fan. The color is dull and the quality is not what i expected for it just to be a case,not a fan the color is dull and the quality is not what i expected for it just to be a case
Swahili,"Bilioni 4 kwa ajili ya matibabu kujistiri zaidi ya wapokeaji 644,000",bilioni 4 kwa ajili ya matibabu kujistiri zaidi ya wapokeaji 644000
